Computer	RegKey	DisplayName	DisplayVersion	Publisher	QuietDisplayName	InstallDate	InstallSource
PCNAME	KB977914	Security Update for Windows XP (KB977914)	1	Microsoft Corporation		20100906	
PCNAME	KB978037	Security Update for Windows XP (KB978037)	1	Microsoft Corporation		20100906	
PCNAME	KB978338	Security Update for Windows XP (KB978338)	1	Microsoft Corporation		20100906	
PCNAME	KB978542	Security Update for Windows XP (KB978542)	1	Microsoft Corporation		20100906	
PCNAME	KB978601	Security Update for Windows XP (KB978601)	1	Microsoft Corporation		20100906	
PCNAME	KB978695_WM9	Security Update for Windows Media Player (KB978695)		Microsoft Corporation		20100906	
PCNAME	KB978706	Security Update for Windows XP (KB978706)	1	Microsoft Corporation		20100906	
PCNAME	KB979309	Security Update for Windows XP (KB979309)	1	Microsoft Corporation		20100906	
PCNAME	KB979482	Security Update for Windows XP (KB979482)	1	Microsoft Corporation		20100906	
PCNAME	KB979687	Security Update for Windows XP (KB979687)	1	Microsoft Corporation		20110401	
PCNAME	KB980195	Security Update for Windows XP (KB980195)	1	Microsoft Corporation		20100906	
PCNAME	KB980218	Security Update for Windows XP (KB980218)	1	Microsoft Corporation		20100906	
PCNAME	KB980232	Security Update for Windows XP (KB980232)	1	Microsoft Corporation		20100906	
PCNAME	KB980436	Security Update for Windows XP (KB980436)	1	Microsoft Corporation		20100906	
PCNAME	KB981322	Security Update for Windows XP (KB981322)	1	Microsoft Corporation		20110401	
PCNAME	KB981349	Security Update for Windows XP (KB981349)	1	Microsoft Corporation		20100906	
PCNAME	KB981793	Hotfix for Windows XP (KB981793)	1	Microsoft Corporation		20100906	
PCNAME	KB981852	Security Update for Windows XP (KB981852)	1	Microsoft Corporation		20100906	
PCNAME	KB981997	Security Update for Windows XP (KB981997)	1	Microsoft Corporation		20100906	
PCNAME	KB982132	Security Update for Windows XP (KB982132)	1	Microsoft Corporation		20110401	
PCNAME	KB982214	Security Update for Windows XP (KB982214)	1	Microsoft Corporation		20100906	
PCNAME	KB982381-IE7	Security Update for Windows Internet Explorer 7 (KB982381)	1	Microsoft Corporation		20100906	
PCNAME	KB982381-IE8	Security Update for Windows Internet Explorer 8 (KB982381)	1	Microsoft Corporation		20130128	
PCNAME	KB982665	Security Update for Windows XP (KB982665)	1	Microsoft Corporation		20100906	
