MAnwf001;DateLock Jue 25/05/2006  ;mamdb903;juviv;ma.indosuez;00-00-00-00-00-00;10.136.44.71;5.0;AP550W2KV2.31
MAnwf001;DateLock vie 26/05/2006  ;MAMDB915;chirw;ma.indosuez;00-00-00-00-00-00;10.136.44.52;5.0;EVOW6000W2KV2.31
MAnwf001;DateLock Lun 05/29/2006  ;MAMDB916;osana;ma.indosuez;00-00-00-00-00-00;10.136.44.53;5.0;EVOX6000W2Kv2.31
MAnwf001;DateLock Mar 05/23/2006  ;mamdb920;togar;ma.indosuez;00-00-00-00-00-00;10.136.44.73;5.0;EVOX6000W2Kv2.31
MAnwf001;DateLock Vie 26/05/2006  ;mamdb922;frpas;ma.indosuez;00-00-00-00-00-00;10.136.44.70;5.0;AP550W2KV2.31
MAnwf001;DateLock Mar 23/05/2006  ;marsh917;japla;ma.indosuez;00-00-00-00-00-00;10.136.44.85;5.0;AP550W2KV2.31
MAnwf001;DateLock Thu 25/05/2006  ;MARSH922;sanaj;ma.indosuez;00-00-00-00-00-00;10.136.44.58;5.0;EVOX6000W2Kv2.31
MAnwf001;DateLock vie 26/05/2006  ;MARSH923;frjua;ma.indosuez;00-00-00-00-00-00;10.136.44.59;5.0;EVOW6000W2KV2.31
MAnwf001;DateLock Lun 29/05/2006  ;marsh926;iscar;ma.indosuez;00-00-00-00-00-00;10.136.44.95;5.0;AP550W2KV2.31
MAnwf001;DateLock Vie 26/05/2006  ;marsh975;joalo;ma.indosuez;00-00-00-00-00-00;10.136.44.111;5.0;EVOX62KW2KV2.41
MAnwf001;DateLock Vie 26/05/2006  ;MASLS922;rtmab;ma.indosuez;00-00-00-00-00-00;10.136.44.65;5.0;EVOX6000W2Kv2.4
MAnwf001;DateLock mi‚ 24/05/2006  ;MASLS923;alhig;ma.INDOSUEZ;00-00-00-00-00-00;10.136.44.89;5.0;EVOW6000W2KV2.31
MAnwf001;DateLock Vie 26/05/2006  ;masls924;lucar;ma.indosuez;00-00-00-00-00-00;10.136.44.75;5.0;AP550W2KV2.31
MAnwf001;DateLock vie 26/05/2006  ;MASLS925;jroci;ma.indosuez;00-00-00-00-00-00;10.136.44.76;5.0;EVOX6000W2Kv2.31
