File Name	Sample ID	Acquisition Date	Gate	Gated Events	Total Events	X Parameter	Y Parameter	Quad Location	Tube	Panel	Label	Events	% Gated	% Total	X Geo Mean	Y Geo Mean	Median	
Data.0405.011	B6.SP-CD3/CXCR4	05-Apr-06	G1	9985	24935	FL1-H CD3-FITC (Log)	FL2-H CXCR4-PE (Log)	12, 20	tube #11	Krishna-1	LL	7895	79.07	.	2.90	4.08	.	
Data.0405.011	B6.SP-CD3/CXCR4	05-Apr-06	G1	9985	24935	FL1-H CD3-FITC (Log)	FL2-H CXCR4-PE (Log)	12, 20	tube #11	Krishna-1	LR	1811	18.14	.	86.50	3.47	.	
.	B6.SP-CD3/CXCR4	.	.	.	.	.	.	.	tube #11	.	All	.	100.00	40.04	5.56	.	3.40	
.	B6.SP-CD3/CXCR4	.	.	.	.	.	.	.	tube #11	.	M1	.	81.14	32.49	2.96	.	2.92	
.	B6.SP-CD3/CXCR4	.	.	.	.	.	.	.	tube #11	.	M2	.	18.78	7.52	85.39	.	90.58	
.	B6.SP-CD3/CXCR4	.	.	.	.	.	.	.	tube #11	.	All	.	100.00	40.04	4.22	.	4.22	
.	B6.SP-CD3/CXCR4	.	.	.	.	.	.	.	tube #11	.	M1	.	93.56	37.47	4.05	.	4.18	
.	B6.SP-CD3/CXCR4	.	.	.	.	.	.	.	tube #11	.	M2	.	3.66	1.46	32.36	.	28.39	
Data.0405.012	B6.SP-CD4/CD25	05-Apr-06	No Gate	24968	24968	FSC-H FSC-Height (Linear)	SSC-H SSC-Height (Linear)	.	tube #12	Krishna-1	R1	10009	40.09	.	472.38	223.24	.	
Data.0405.012	B6.SP-CD4/CD25	05-Apr-06	G1	10009	24968	FL1-H CD4-FITC (Log)	FL2-H CD25-PE (Log)	12, 20	tube #12	Krishna-1	UL	87	0.87	.	2.80	54.90	.	
Data.0405.012	B6.SP-CD4/CD25	05-Apr-06	G1	10009	24968	FL1-H CD4-FITC (Log)	FL2-H CD25-PE (Log)	12, 20	tube #12	Krishna-1	UR	171	1.71	.	79.64	53.25	.	
